                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.7016,                   5.22,                 3.3777,                      0,                      0,                      0,                      0,                 3.0988,                 6.0717,                 3.9847,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 2.8378,                 5.1095,                 3.4595,                      0,                      0,                      0,                      0,                 3.0988,                 6.0717,                 3.9847,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.6775,                 5.2926,                 3.3674,                      0,                      0,                      0,                      0,                 3.0856,                 6.0964,                 3.9677,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.4143,                 5.2233,                 3.2158,                      0,                      0,                      0,                      0,                 3.0856,                 6.0964,                 3.9677,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 2.4997,                 5.0991,                 3.3541,                      0,                      0,                      0,                      0,                 3.0255,                 6.1099,                 3.9569,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.6053,                 5.3748,                 3.5164,                      0,                      0,                      0,                      0,                 3.0255,                 6.1099,                 3.9569,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 2.6137,                 5.4928,                 3.2184,                      0,                      0,                      0,                      0,                 3.0003,                 6.1202,                 3.9503,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 3.0123,                 5.1675,                 3.1244,                      0,                      0,                      0,                      0,                 3.0003,                 6.1202,                 3.9503,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                  2.272,                 5.2525,                 3.1378,                      0,                      0,                      0,                      0,                 2.9973,                 6.1291,                 3.9308,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.3297,                 5.2342,                 3.1893,                      0,                      0,                      0,                      0,                 2.9973,                 6.1291,                 3.9308,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.9712,                 5.2077,                  3.626,                      0,                      0,                      0,                      0,                  3.001,                  6.133,                 3.9301,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 2.7418,                 5.1784,                 3.4525,                      0,                      0,                      0,                      0,                  3.001,                  6.133,                 3.9301,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 2.5969,                 4.9503,                 3.2022,                      0,                      0,                      0,                      0,                 3.0191,                  6.139,                 3.9275,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 2.7722,                 5.1472,                 3.6406,                      0,                      0,                      0,                      0,                 3.0191,                  6.139,                 3.9275,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.4111,                 5.1708,                 3.1486,                      0,                      0,                      0,                      0,                 3.0123,                 6.1327,                 3.9318,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                  2.563,                 5.0795,                 3.6068,                      0,                      0,                      0,                      0,                 3.0123,                 6.1327,                 3.9318,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 2.3809,                 5.3527,                 3.0996,                      0,                      0,                      0,                      0,                 3.0292,                 6.1382,                 3.9334,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                  2.818,                 5.3566,                 3.1824,                      0,                      0,                      0,                      0,                 3.0292,                 6.1382,                 3.9334,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.8205,                 5.1976,                 3.5288,                      0,                      0,                      0,                      0,                 3.0292,                 6.1382,                 3.9334,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 2.6917,                 4.9687,                 3.2095,                      0,                      0,                      0,                      0,                  3.058,                 6.1343,                 3.9473,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 2.4946,                 5.2242,                 3.4117,                      0,                      0,                      0,                      0,                  3.058,                 6.1343,                 3.9473,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                  2.377,                 5.1208,                 3.4951,                      0,                      0,                      0,                      0,                  3.058,                 6.1343,                 3.9473,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 2.6748,                 4.9809,                 3.3734,                      0,                      0,                      0,                      0,                 3.0756,                 6.1328,                 3.9521,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 2.6504,                    5.1,                  3.051,                      0,                      0,                      0,                      0,                 3.0756,                 6.1328,                 3.9521,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 2.5503,                 5.0901,                 2.9928,                      0,                      0,                      0,                      0,                 3.0756,                 6.1328,                 3.9521,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 2.8096,                  4.876,                  3.138,                      0,                      0,                      0,                      0,                 3.0657,                 6.1249,                 3.9553,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 2.9049,                  4.998,                 3.3087,                      0,                      0,                      0,                      0,                 3.0657,                 6.1249,                 3.9553,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 2.7819,                 4.9811,                 3.1065,                      0,                      0,                      0,                      0,                 3.0657,                 6.1249,                 3.9553,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 2.7017,                 5.0939,                  3.326,                      0,                      0,                      0,                      0,                  3.062,                 6.1229,                 3.9612,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 2.5992,                 4.9013,                 3.2628,                      0,                      0,                      0,                      0,                  3.062,                 6.1229,                 3.9612,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 2.2677,                 5.0109,                 3.1292,                      0,                      0,                      0,                      0,                  3.062,                 6.1229,                 3.9612,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 2.4869,                 5.3353,                 3.0119,                      0,                      0,                      0,                      0,                  3.067,                 6.1212,                 3.9732,             2.7575e-05,             2.7575e-05,             2.7575e-05
